Front;Back;Tags
and<br><br>I like reading and learning languages.<br>[sound:connector_and.mp3];<b>e</b><br><br>Eu gosto de ler e aprender idiomas.<br><br>Use para adicionar ideias simples.;connectors oral_test phase1 connector_basic
but<br><br>I wanted to buy it, but it was sold out.<br>[sound:connector_but.mp3];<b>mas</b><br><br>Eu queria comprar, mas estava esgotado.<br><br>Contraste simples.;connectors oral_test phase1 connector_basic
because<br><br>I asked for a refund because the product was broken.<br>[sound:connector_because.mp3];<b>porque</b><br><br>Pedi reembolso porque o produto estava quebrado.<br><br>Motivo/razão.;connectors oral_test phase1 connector_reason
so<br><br>The price was good, so I bought it.<br>[sound:connector_so.mp3];<b>então/por isso</b><br><br>O preço estava bom, então eu comprei.<br><br>Resultado.;connectors oral_test phase1 connector_result
also<br><br>I like cooking. I also enjoy reading.<br>[sound:connector_also.mp3];<b>também</b><br><br>Eu gosto de cozinhar. Eu também gosto de ler.<br><br>Adicionar informação.;connectors oral_test phase1 connector_addition
too<br><br>I like photography too.<br>[sound:connector_too.mp3];<b>também</b><br><br>Eu também gosto de fotografia.<br><br>Normalmente no fim da frase.;connectors oral_test phase1 connector_addition
"however<br><br>The product was expensive; however, the quality was excellent.<br>[sound:connector_however.mp3]";"<b>no entanto/porém</b><br><br>O produto era caro; no entanto, a qualidade era excelente.<br><br>Mais formal que but.";connectors oral_test phase1 connector_contrast
although<br><br>Although I was nervous, I answered the question.<br>[sound:connector_although.mp3];<b>embora</b><br><br>Embora eu estivesse nervoso, respondi à pergunta.<br><br>Contraste no início ou meio.;connectors oral_test phase1 connector_contrast
even though<br><br>Even though I was shy, I spoke in English.<br>[sound:connector_even_though.mp3];<b>mesmo que/embora</b><br><br>Mesmo sendo tímido, falei em inglês.<br><br>Contraste forte.;connectors oral_test phase1 connector_contrast
on the other hand<br><br>The supermarket is cheaper. On the other hand, the market has fresher food.<br>[sound:connector_on_the_other_hand.mp3];<b>por outro lado</b><br><br>O supermercado é mais barato. Por outro lado, a feira tem comida mais fresca.<br><br>Comparar dois lados.;connectors oral_test phase1 connector_contrast
for example<br><br>I like hobbies, for example, reading and cooking.<br>[sound:connector_for_example.mp3];<b>por exemplo</b><br><br>Gosto de hobbies, por exemplo, leitura e culinária.<br><br>Dar exemplo.;connectors oral_test phase1 connector_example
for instance<br><br>Some hobbies are relaxing, for instance, gardening and painting.<br>[sound:connector_for_instance.mp3];<b>por exemplo</b><br><br>Alguns hobbies são relaxantes, por exemplo, jardinagem e pintura.<br><br>Mais formal que for example.;connectors oral_test phase1 connector_example
in addition<br><br>The shop has good prices. In addition, the service is excellent.<br>[sound:connector_in_addition.mp3];<b>além disso</b><br><br>A loja tem bons preços. Além disso, o atendimento é excelente.<br><br>Adicionar com tom formal.;connectors oral_test phase1 connector_addition
besides<br><br>Besides English, I want to learn Spanish.<br>[sound:connector_besides.mp3];<b>além disso/além de</b><br><br>Além do inglês, quero aprender espanhol.<br><br>Adicionar algo extra.;connectors oral_test phase1 connector_addition
"therefore<br><br>The item was damaged; therefore, I asked for a refund.<br>[sound:connector_therefore.mp3]";"<b>portanto</b><br><br>O item estava danificado; portanto, pedi reembolso.<br><br>Resultado formal.";connectors oral_test phase1 connector_result
as a result<br><br>The store was crowded. As a result, we waited a long time.<br>[sound:connector_as_a_result.mp3];<b>como resultado</b><br><br>A loja estava cheia. Como resultado, esperamos muito tempo.<br><br>Resultado/consequência.;connectors oral_test phase1 connector_result
first<br><br>First, I checked the price.<br>[sound:connector_first.mp3];<b>primeiro</b><br><br>Primeiro, verifiquei o preço.<br><br>Sequência.;connectors oral_test phase1 connector_sequence
then<br><br>Then, I asked the cashier for help.<br>[sound:connector_then.mp3];<b>depois/então</b><br><br>Depois, pedi ajuda ao caixa.<br><br>Sequência.;connectors oral_test phase1 connector_sequence
after that<br><br>After that, I paid by credit card.<br>[sound:connector_after_that.mp3];<b>depois disso</b><br><br>Depois disso, paguei com cartão de crédito.<br><br>Sequência.;connectors oral_test phase1 connector_sequence
finally<br><br>Finally, I kept the receipt.<br>[sound:connector_finally.mp3];<b>finalmente/por fim</b><br><br>Por fim, guardei o recibo.<br><br>Encerrar sequência.;connectors oral_test phase1 connector_sequence
meanwhile<br><br>I waited in line. Meanwhile, my wife looked around the shop.<br>[sound:connector_meanwhile.mp3];<b>enquanto isso</b><br><br>Esperei na fila. Enquanto isso, minha esposa olhou a loja.<br><br>Duas ações ao mesmo tempo.;connectors oral_test phase1 connector_time
eventually<br><br>Eventually, my voice became steadier.<br>[sound:connector_eventually.mp3];<b>no fim das contas</b><br><br>No fim das contas, minha voz ficou mais firme.<br><br>Resultado depois de algum tempo.;connectors oral_test phase1 connector_time
before<br><br>Before buying clothes, I usually try them on.<br>[sound:connector_before.mp3];<b>antes</b><br><br>Antes de comprar roupas, geralmente eu as experimento.<br><br>Tempo anterior.;connectors oral_test phase1 connector_time
after<br><br>After shopping, I usually check the receipt.<br>[sound:connector_after.mp3];<b>depois</b><br><br>Depois das compras, geralmente confiro o recibo.<br><br>Tempo posterior.;connectors oral_test phase1 connector_time
when<br><br>When I go to the supermarket, I compare prices.<br>[sound:connector_when.mp3];<b>quando</b><br><br>Quando vou ao supermercado, comparo preços.<br><br>Tempo/situação.;connectors oral_test phase1 connector_time
while<br><br>I listened while she explained the question.<br>[sound:connector_while.mp3];<b>enquanto</b><br><br>Eu escutei enquanto ela explicava a pergunta.<br><br>Duas ações simultâneas.;connectors oral_test phase1 connector_time
if<br><br>If the price is too high, I don't buy it.<br>[sound:connector_if.mp3];<b>se</b><br><br>Se o preço está muito alto, eu não compro.<br><br>Condição.;connectors oral_test phase1 connector_condition
unless<br><br>I don't ask for a refund unless the product is broken.<br>[sound:connector_unless.mp3];<b>a menos que</b><br><br>Não peço reembolso a menos que o produto esteja quebrado.<br><br>Condição negativa.;connectors oral_test phase1 connector_condition
even if<br><br>Even if I make mistakes, I will keep speaking.<br>[sound:connector_even_if.mp3];<b>mesmo se</b><br><br>Mesmo se eu cometer erros, vou continuar falando.<br><br>Condição com contraste.;connectors oral_test phase1 connector_condition
as long as<br><br>I can buy it as long as the price is fair.<br>[sound:connector_as_long_as.mp3];<b>desde que/contanto que</b><br><br>Posso comprar desde que o preço seja justo.<br><br>Condição necessária.;connectors oral_test phase1 connector_condition
in order to<br><br>I study English in order to speak better at work.<br>[sound:connector_in_order_to.mp3];<b>para/a fim de</b><br><br>Estudo inglês para falar melhor no trabalho.<br><br>Propósito formal.;connectors oral_test phase1 connector_purpose
so that<br><br>I wrote it down so that I wouldn't forget.<br>[sound:connector_so_that.mp3];<b>para que</b><br><br>Eu anotei para que eu não esquecesse.<br><br>Propósito.;connectors oral_test phase1 connector_purpose
actually<br><br>Actually, I prefer paying by credit card.<br>[sound:connector_actually.mp3];<b>na verdade</b><br><br>Na verdade, prefiro pagar com cartão de crédito.<br><br>Corrigir/clarificar ideia.;connectors oral_test phase1 connector_natural
basically<br><br>Basically, I need to practice speaking every day.<br>[sound:connector_basically.mp3];<b>basicamente</b><br><br>Basicamente, preciso praticar fala todos os dias.<br><br>Resumo informal.;connectors oral_test phase1 connector_natural
by the way<br><br>By the way, did you keep the receipt?<br>[sound:connector_by_the_way.mp3];<b>a propósito</b><br><br>A propósito, você guardou o recibo?<br><br>Mudar/adicionar assunto.;connectors oral_test phase1 connector_natural
to be honest<br><br>To be honest, I don't like window shopping.<br>[sound:connector_to_be_honest.mp3];<b>para ser sincero</b><br><br>Para ser sincero, não gosto de olhar vitrines.<br><br>Opinião honesta.;connectors oral_test phase1 connector_natural
I think<br><br>I think cooking at home is better.<br>[sound:connector_i_think.mp3];<b>eu acho</b><br><br>Eu acho que cozinhar em casa é melhor.<br><br>Opinião simples.;connectors oral_test phase1 connector_opinion
I believe<br><br>I believe learning languages is important.<br>[sound:connector_i_believe.mp3];<b>eu acredito</b><br><br>Eu acredito que aprender idiomas é importante.<br><br>Opinião mais forte/formal.;connectors oral_test phase1 connector_opinion
in my opinion<br><br>In my opinion, reading is the best hobby.<br>[sound:connector_in_my_opinion.mp3];<b>na minha opinião</b><br><br>Na minha opinião, ler é o melhor hobby.<br><br>Opinião clara.;connectors oral_test phase1 connector_opinion
at least<br><br>I made mistakes, but at least I tried.<br>[sound:connector_at_least.mp3];<b>pelo menos</b><br><br>Cometi erros, mas pelo menos tentei.<br><br>Mostrar lado positivo mínimo.;connectors oral_test phase1 connector_emphasis
